,kepid,Time,Impact,Depth,Radius,Energy,Star_Stability,Temperature
0,10797460,9.48803557,0.23199999999999998,616.0,2.3149999999999995,99.99000000000001,4.451,5455.0
1,10797460,54.4183827,0.394,875.0,2.895,9.735,4.451,5455.0
2,10854555,2.525591777,0.5794999999999999,603.0,3.0149999999999997,1206.205,4.368,6010.0
3,10872983,11.09432054,0.3390000000000001,1520.0,4.325,152.885,4.3985,6024.5
4,10872983,4.13443512,0.5655,686.0,3.0700000000000003,569.465,4.3985,6024.5
5,10872983,2.56658897,0.5994999999999999,227.0,1.7650000000000001,1075.595,4.3985,6024.5
6,10910878,16.06864674,0.157,4910.0,5.625,29.65,4.512500000000001,5027.0
7,6922244,3.522498429,0.631,9150.0,14.59,1280.045,4.1739999999999995,6212.5
8,10984090,3.709214104,0.223,131.0,1.185,534.17,4.3925,5827.0
9,10526549,9.27358173,0.196,1290.0,2.45,42.245000000000005,4.598000000000001,4848.5
10,10583066,6.02930329,0.227,1910.0,2.9050000000000002,53.3,4.629999999999999,4537.0
11,10601284,5.349553819,0.23049999999999998,831.0,2.51,167.08,4.4665,5189.0
12,10601284,3.94105221,0.2345,363.0,1.675,250.28,4.4665,5189.0
13,10601284,8.10904807,0.225,217.0,1.2850000000000001,95.935,4.4665,5189.0
14,10662202,21.67699193,0.5695,857.0,2.8950000000000005,18.130000000000003,4.5275,4954.0
15,10682541,4.99677968,0.44649999999999995,935.0,2.925,196.91,4.5009999999999994,5347.0
16,11460018,4.280963604,0.30200000000000005,751.0,2.495,307.33000000000004,4.496,5635.5
17,11507101,38.3775486,0.5650000000000001,724.0,2.835,19.425,4.38,5485.0
18,10910878,41.19725502,0.191,2210.0,3.7699999999999996,8.445,4.512500000000001,5027.0
19,10910878,6.252962249,0.217,1040.0,2.585,104.445,4.512500000000001,5027.0
20,10987985,16.01308419,0.5720000000000001,1120.0,3.115,31.075,4.487499999999999,5022.5
21,11018648,32.62876672,0.21150000000000002,1800.0,3.575,18.715000000000003,4.51,5586.0
23,11138155,4.959319244,0.837,9800.0,12.46,376.05499999999995,4.359,5712.0
24,11153539,4.49876511,0.23299999999999998,460.0,2.315,513.775,4.4079999999999995,6064.5
25,9579641,5.412203927,0.5070000000000001,602.0,2.965,355.235,4.351000000000001,5773.5
26,11304958,41.43958662,0.19749999999999998,2790.0,5.805,20.729999999999997,4.35,5476.0
27,11391957,8.35389523,0.223,1040.0,2.67,109.355,4.528,5592.0
28,11403044,4.125543472,0.5309999999999999,1490.0,4.895,742.5150000000001,4.34,6141.0
29,11414511,2.816504904,0.1775,16800.0,12.585,564.325,4.4295,5527.5
30,12110942,3.689920099,0.22749999999999998,427.0,2.0599999999999996,518.45,4.443,5862.5
31,12366084,4.431238488,0.223,1010.0,3.36,384.69500000000005,4.401,5714.0
32,12366084,11.37936986,0.5875,1020.0,4.08,109.17500000000001,4.401,5714.0
33,12404086,26.39432897,0.5289999999999999,1510.0,3.165,14.920000000000002,4.568,5129.0
34,8395660,13.57078281,0.563,512.0,2.705,97.21,4.395999999999999,5848.0
35,9579641,7.12594387,0.555,192.0,1.805,245.44,4.351000000000001,5773.5
36,11754553,16.38489988,0.219,1130.0,1.9949999999999999,8.42,4.661,4126.0
37,11754553,7.8774163,0.22499999999999998,1310.0,2.1500000000000004,22.369999999999997,4.661,4126.0
38,11754553,36.4454001,0.2325,1120.0,1.99,2.9,4.661,4126.0
39,11812062,3.728732147,0.5485,5230.0,6.369999999999999,307.025,4.526,5505.5
40,11818800,40.4195037,3.6355,6260.0,7.614999999999999,12.34,4.512499999999999,5454.0
41,11853255,2.243380573,0.6045,822.0,1.98,108.175,4.6965,4144.5
42,11918099,2.337437946,0.23450000000000001,971.0,2.38,325.805,4.568999999999999,5005.0
43,11918099,7.2406612,25.994,556.0,19.794999999999998,71.85999999999999,4.568999999999999,5005.0
44,11923270,11.59822233,0.5375000000000001,2800.0,2.61,5.75,4.7925,3679.0
45,11960862,6.575315881,0.2695,2790.0,5.654999999999999,310.115,4.37,5983.0
46,12020329,7.275040844,0.4585000000000001,3000.0,5.2,136.81,4.4895,5477.0
47,12066335,19.27153892,0.1955,1220.0,1.92,5.695,4.702,4077.0
48,12066335,10.06524317,0.3905,1050.0,1.9,13.525,4.702,4077.0
49,12070811,12.3935651,0.5795,917.0,2.8150000000000004,58.775000000000006,4.555999999999999,5557.0
50,8395660,43.84439721,0.579,615.0,2.9350000000000005,20.36,4.395999999999999,5848.0
51,3342970,2.711504086,0.21400000000000002,838.0,3.4600000000000004,1271.78,4.361000000000001,6181.5
52,3342970,7.21203748,0.203,950.0,3.685,344.92499999999995,4.361000000000001,6181.5
53,12470844,8.47237911,0.2,1120.0,2.665,83.50999999999999,4.551,5354.0
55,12644822,12.61190435,0.5185,6110.0,8.135000000000002,98.62,4.4235,5786.5
56,2713049,2.539183147,0.218,382.0,2.065,782.0400000000001,4.3614999999999995,5523.0
57,3114167,6.770300385,0.585,1300.0,2.925,119.19,4.613999999999999,5653.0
58,3115833,10.181584,0.921,5740.0,8.455,131.82999999999998,4.469,5979.0
59,4139816,20.06036336,0.5335000000000001,1490.0,1.9449999999999998,3.995,4.759499999999999,3942.0
60,4139816,46.1842039,0.214,1390.0,1.8150000000000002,1.315,4.759499999999999,3942.0
61,8395660,23.9800854,0.6219999999999999,104.0,1.3450000000000002,45.495,4.395999999999999,5848.0
62,4139816,7.82502168,0.5814999999999999,521.0,1.19,14.005000000000003,4.759499999999999,3942.0
63,4275191,3.895936525,0.44,8540.0,7.779999999999999,287.18,4.5409999999999995,5557.0
64,4476123,22.36646466,0.233,987.0,2.4299999999999997,22.314999999999998,4.579000000000001,5395.0
65,3351888,1.625522174,0.049,7970.0,9.725000000000001,1529.47,4.3405000000000005,5543.5
66,3453214,19.62034692,0.41550000000000004,21700.0,14.05,43.905,4.46,5705.5
67,3641726,9.02930689,0.21250000000000002,1020.0,2.6599999999999997,88.115,4.5035,5349.0
68,3832474,143.2063047,0.279,10600.0,9.120000000000001,2.26,4.5225,5474.0
69,3935914,1.594745374,0.5065000000000001,15000.0,12.18,1656.805,4.426,5925.0
70,3940418,4.783002698,0.214,1010.0,2.575,161.115,4.538499999999999,5170.0
71,4049131,20.50588921,0.20550000000000002,2110.0,3.3950000000000005,17.49,4.558,4905.0
72,4139816,3.340218842,0.24850000000000003,1630.0,2.01,43.605,4.759499999999999,3942.0
73,5358241,18.64932728,0.20450000000000002,894.0,3.215,62.495000000000005,4.3765,5775.0
74,10875245,4.90144976,0.3095,141.0,1.7149999999999999,607.385,4.192,5841.5
75,5358241,9.75192101,0.6265,418.0,2.8549999999999995,148.415,4.3765,5775.0
76,5358241,38.5576546,0.5920000000000001,993.0,4.1499999999999995,23.745,4.3765,5775.0
77,5358624,3.525632539,0.08099999999999999,22300.0,11.79,223.745,4.55,5150.0
78,4544670,34.84398644,1.206,4520.0,8.015,19.110000000000003,4.4475,5509.0
79,4664847,7.748094239,0.473,2470.0,6.09,265.725,4.3545,5941.5
80,4725681,23.96793669,0.2345,1180.0,1.7750000000000001,2.74,4.7364999999999995,3743.0
81,4725681,8.29561738,0.613,824.0,1.7950000000000002,11.265,4.7364999999999995,3743.0
